Data;Precipitação (mm);Radiação Solar (W/m);Radiação Solar 1 (W/m);Radiação Solar 2 (W/m);Temperatura do Ar (ºC);Umidade do Ar (%);Velocidade do Vento (m/s);;;
2021-06-01 00:00:00;0.08;66.22;115.39;118.61;25.11;94.30;0.16;;;
2021-06-02 00:00:00;0.00;134.20;175.78;176.94;25.80;91.20;0.04;;;
2021-06-03 00:00:00;0.08;128.12;187.31;190.69;26.18;91.83;0.11;;;
2021-06-04 00:00:00;0.00;113.59;170.96;173.68;25.72;93.38;0.09;;;
2021-06-05 00:00:00;0.08;29.72;72.30;75.09;24.59;97.69;0.03;;;
2021-06-06 00:00:00;0.02;84.30;152.46;153.40;25.49;95.29;0.04;;;
2021-06-07 00:00:00;0.58;62.31;97.14;99.73;24.89;97.60;0.04;;;
2021-06-08 00:00:00;0.00;130.11;197.61;200.74;25.33;91.18;0.02;;;
2021-06-09 00:00:00;0.18;105.91;155.11;160.65;25.59;93.06;0.07;;;
2021-06-10 00:00:00;0.04;87.06;139.71;142.90;25.37;94.61;0.09;;;
2021-06-11 00:00:00;0.00;172.87;244.97;249.32;26.30;89.66;0.18;;;
2021-06-12 00:00:00;0.00;118.40;175.95;180.78;26.08;92.08;0.04;;;
2021-06-13 00:00:00;0.00;118.64;159.12;161.56;25.56;91.06;0.14;;;
2021-06-14 00:00:00;0.26;60.49;110.03;116.03;24.67;94.67;0.52;;;
2021-06-15 00:00:00;0.01;63.53;126.07;129.52;25.00;93.74;0.08;;;
2021-06-16 00:00:00;0.07;139.36;200.48;202.54;25.57;90.58;0.14;;;
2021-06-17 00:00:00;0.00;89.97;132.74;136.25;25.07;93.54;0.07;;;
2021-06-18 00:00:00;0.00;139.46;210.97;212.98;25.95;89.00;0.04;;;
2021-06-19 00:00:00;0.08;139.60;216.23;219.11;26.26;90.88;0.12;;;
2021-06-20 00:00:00;0.02;107.17;158.09;161.08;25.57;93.92;0.15;;;
2021-06-21 00:00:00;0.04;126.13;178.95;181.41;25.45;90.87;0.06;;;
2021-06-22 00:00:00;0.03;100.59;172.88;173.96;25.21;94.18;0.21;;;
2021-06-23 00:00:00;0.08;138.47;177.69;182.83;25.20;93.19;0.13;;;
2021-06-24 00:00:00;0.00;112.62;177.69;182.81;25.21;93.16;0.05;;;
2021-06-25 00:00:00;0.00;148.82;222.04;222.75;26.63;87.11;0.09;;;
2021-06-26 00:00:00;0.04;106.40;167.06;171.79;25.79;92.27;0.05;;;
2021-06-27 00:00:00;0.10;133.01;192.54;195.22;26.05;89.76;0.13;;;
2021-06-28 00:00:00;0.00;103.30;171.89;175.87;24.50;94.06;0.04;;;
2021-06-29 00:00:00;0.05;111.42;176.64;178.48;24.97;93.63;0.38;;;
2021-06-30 00:00:00;0.00;35.02;70.19;74.40;21.54;96.05;1.55;;;
2021-07-01 00:00:00;0.00;90.66;132.76;137.37;20.58;88.79;0.86;;;
2021-07-02 00:00:00;0.00;125.93;207.23;210.50;22.39;85.95;0.11;;;
2021-07-03 00:00:00;0.00;126.26;203.58;203.17;24.14;86.86;0.13;;;
2021-07-04 00:00:00;0.33;70.10;104.53;108.89;23.54;95.71;0.23;;;
2021-07-05 00:00:00;0.01;83.50;120.68;120.04;23.78;93.35;0.08;;;
2021-07-06 00:00:00;0.00;143.84;190.74;194.38;24.93;91.43;0.14;;;
2021-07-07 00:00:00;0.02;108.76;168.75;170.68;25.38;92.76;0.11;;;
2021-07-08 00:00:00;0.04;157.15;217.09;222.23;25.52;92.27;0.21;;;
2021-07-09 00:00:00;0.00;144.48;222.64;227.24;25.90;89.53;0.05;;;
2021-07-10 00:00:00;0.01;98.34;156.06;161.10;25.31;92.88;0.04;;;
2021-07-11 00:00:00;0.05;63.29;111.19;114.21;24.62;96.48;0.05;;;
2021-07-12 00:00:00;0.11;32.45;59.75;62.65;23.67;98.43;0.07;;;
2021-07-13 00:00:00;0.04;139.96;199.70;202.36;24.79;92.62;0.07;;;
2021-07-14 00:00:00;0.00;131.45;193.00;196.27;25.47;91.22;0.10;;;
2021-07-15 00:00:00;0.05;120.02;167.49;171.23;25.42;93.31;0.08;;;
2021-07-16 00:00:00;0.00;151.38;224.56;228.43;25.72;88.76;0.04;;;
2021-07-17 00:00:00;0.00;139.01;211.56;216.30;26.37;88.36;0.06;;;
2021-07-18 00:00:00;0.00;118.80;194.67;198.10;26.69;89.46;0.10;;;
2021-07-19 00:00:00;0.00;90.77;148.85;152.21;25.26;92.15;0.14;;;
2021-07-20 00:00:00;0.22;17.02;54.72;56.75;23.81;97.42;0.38;;;
2021-07-21 00:00:00;0.00;101.91;150.40;152.10;25.34;92.64;0.05;;;
2021-07-22 00:00:00;0.02;125.90;188.87;190.29;25.79;93.05;0.15;;;
2021-07-23 00:00:00;0.13;118.39;170.68;173.13;25.34;94.55;0.16;;;
2021-07-24 00:00:00;0.00;133.62;179.61;183.63;26.05;91.97;0.08;;;
2021-07-25 00:00:00;0.15;114.65;163.89;167.28;25.41;94.32;0.07;;;
2021-07-26 00:00:00;0.14;150.09;202.79;206.69;25.01;93.04;0.08;;;
2021-07-27 00:00:00;0.00;86.35;133.16;137.17;24.62;94.79;0.08;;;
2021-07-28 00:00:00;0.13;118.30;165.92;172.68;24.48;93.56;0.07;;;
2021-07-29 00:00:00;0.01;152.02;214.80;219.15;25.32;92.69;0.36;;;
2021-07-30 00:00:00;0.01;33.31;72.56;76.77;23.23;94.58;0.69;;;
2021-07-31 00:00:00;0.00;91.89;128.07;133.40;22.50;87.76;0.10;;;
2021-08-01 00:00:00;0.00;89.46;139.30;143.95;23.14;90.95;0.02;;;
2021-08-02 00:00:00;0.00;123.44;182.70;186.79;24.19;89.56;0.04;;;
2021-08-03 00:00:00;0.27;71.91;106.90;108.98;23.42;96.97;0.06;;;
2021-08-04 00:00:00;0.04;86.14;133.19;137.66;24.03;95.89;0.09;;;
2021-08-05 00:00:00;0.07;90.21;123.26;128.22;24.58;95.01;0.06;;;
2021-08-06 00:00:00;0.00;130.17;174.52;179.07;25.13;90.51;0.08;;;
2021-08-07 00:00:00;0.00;127.01;172.54;176.96;25.72;89.76;0.05;;;
2021-08-08 00:00:00;0.04;123.55;149.11;154.18;25.44;93.67;0.20;;;
2021-08-09 00:00:00;0.00;167.47;246.23;248.93;26.68;86.19;0.08;;;
2021-08-10 00:00:00;0.00;152.91;235.51;238.51;26.44;86.39;0.07;;;
2021-08-11 00:00:00;0.00;117.99;180.86;184.28;26.25;90.15;0.05;;;
2021-08-12 00:00:00;0.28;86.92;127.34;129.45;24.75;94.19;0.11;;;
2021-08-13 00:00:00;0.18;124.38;163.12;170.10;25.26;93.41;0.12;;;
2021-08-14 00:00:00;0.02;93.93;126.67;131.65;24.09;95.28;0.08;;;
2021-08-15 00:00:00;0.00;142.66;203.53;206.09;25.55;90.53;0.03;;;
2021-08-16 00:00:00;0.00;135.84;198.40;202.09;26.07;90.80;0.14;;;
2021-08-17 00:00:00;0.01;140.63;200.63;205.30;26.67;90.88;0.04;;;
2021-08-18 00:00:00;0.30;16.10;45.80;48.23;24.08;99.13;0.07;;;
2021-08-19 00:00:00;0.01;175.68;203.90;209.70;24.97;93.57;0.13;;;
2021-08-20 00:00:00;0.00;176.67;250.51;255.58;26.48;88.77;0.06;;;
2021-08-21 00:00:00;0.00;169.00;252.98;252.65;27.27;85.72;0.02;;;
2021-08-22 00:00:00;0.00;153.36;231.15;236.90;26.53;89.28;0.18;;;
2021-08-23 00:00:00;0.04;99.61;140.62;146.22;25.21;95.10;0.10;;;
2021-08-24 00:00:00;0.00;139.53;207.01;211.10;26.45;91.58;0.10;;;
2021-08-25 00:00:00;0.00;129.93;198.77;203.62;27.09;89.59;0.06;;;
2021-08-26 00:00:00;0.00;161.10;256.78;256.07;27.66;85.87;0.21;;;
2021-08-27 00:00:00;0.22;46.99;69.81;72.85;24.32;97.63;0.15;;;
2021-08-28 00:00:00;0.00;187.94;256.40;263.13;25.58;89.56;0.09;;;
2021-08-29 00:00:00;0.41;31.54;49.44;52.48;24.13;98.70;0.14;;;
2021-08-30 00:00:00;0.00;144.40;193.60;198.64;24.98;91.56;0.04;;;
2021-08-31 00:00:00;0.35;79.47;113.30;118.50;24.77;96.71;0.10;;;
2021-09-01 00:00:00;0.01;137.11;186.95;189.45;25.16;92.04;0.08;;;
2021-09-02 00:00:00;0.03;178.17;255.69;257.78;26.37;88.09;0.16;;;
2021-09-03 00:00:00;0.04;184.23;261.02;263.32;26.42;88.08;0.08;;;
2021-09-04 00:00:00;0.00;126.21;176.35;180.09;26.11;92.86;0.09;;;
2021-09-05 00:00:00;0.00;131.73;194.80;198.47;26.69;91.12;0.05;;;
2021-09-06 00:00:00;0.00;166.85;242.68;246.09;27.03;89.23;0.09;;;
2021-09-07 00:00:00;0.15;49.01;86.59;90.52;24.78;97.86;0.08;;;
2021-09-08 00:00:00;0.00;160.17;202.28;204.20;25.41;92.72;0.10;;;
2021-09-09 00:00:00;0.24;170.10;227.87;230.56;25.95;91.97;0.06;;;
2021-09-10 00:00:00;0.16;96.73;128.82;133.24;24.55;96.91;0.05;;;
2021-09-11 00:00:00;0.00;193.14;273.78;273.72;25.65;89.07;0.19;;;
2021-09-12 00:00:00;0.01;119.29;180.71;184.51;25.19;92.48;0.07;;;
2021-09-13 00:00:00;0.00;182.76;269.58;270.41;26.89;87.41;0.10;;;
2021-09-14 00:00:00;0.01;143.76;219.46;223.42;25.85;89.98;0.11;;;
2021-09-15 00:00:00;0.03;106.15;164.31;171.85;25.11;94.32;0.10;;;
2021-09-16 00:00:00;0.01;170.35;247.51;251.32;25.82;90.20;0.14;;;
2021-09-17 00:00:00;0.01;71.94;123.53;130.36;24.31;95.64;0.12;;;
2021-09-18 00:00:00;0.00;149.39;203.16;207.97;25.81;91.79;0.20;;;
2021-09-19 00:00:00;0.00;128.77;195.56;197.98;26.12;90.76;0.07;;;
2021-09-20 00:00:00;0.00;154.11;237.38;239.09;26.93;88.82;0.15;;;
2021-09-21 00:00:00;0.03;140.84;206.21;209.95;26.15;91.87;0.06;;;
2021-09-22 00:00:00;0.20;72.55;99.35;101.97;24.27;96.83;0.06;;;
2021-09-23 00:00:00;0.00;149.13;203.14;206.56;25.60;90.24;0.11;;;
2021-09-24 00:00:00;0.69;206.10;263.15;265.86;25.55;90.20;0.23;;;
2021-09-25 00:00:00;0.03;195.55;244.12;247.73;24.82;91.21;0.07;;;
2021-09-26 00:00:00;0.00;141.97;209.43;212.21;26.03;90.04;0.06;;;
2021-09-27 00:00:00;0.00;149.73;221.04;222.73;25.94;91.20;0.18;;;
2021-09-28 00:00:00;0.00;126.70;194.29;199.27;25.46;92.08;0.05;;;
2021-09-29 00:00:00;0.00;144.92;215.56;221.23;26.42;89.78;0.08;;;
2021-09-30 00:00:00;0.01;140.38;207.58;211.81;26.31;90.90;0.08;;;
2021-10-01 00:00:00;0.00;117.79;176.59;180.19;25.92;92.25;0.12;;;
2021-10-02 00:00:00;0.01;72.11;113.59;116.46;25.61;95.24;0.08;;;
2021-10-03 00:00:00;0.00;178.27;249.68;251.19;26.93;87.24;0.08;;;
2021-10-04 00:00:00;0.03;94.56;155.84;160.19;26.37;94.09;0.08;;;
2021-10-05 00:00:00;0.05;139.11;199.46;203.50;26.61;93.97;0.07;;;
2021-10-06 00:00:00;0.00;99.16;135.47;141.66;26.36;94.07;0.06;;;
2021-10-07 00:00:00;0.17;42.59;60.62;63.41;24.37;98.68;0.05;;;
2021-10-08 00:00:00;0.00;157.17;205.67;212.00;25.53;91.60;0.03;;;
2021-10-09 00:00:00;0.11;132.21;182.40;183.49;26.40;94.81;0.09;;;
2021-10-10 00:00:00;0.02;156.76;219.35;218.77;26.70;92.20;0.08;;;
2021-10-11 00:00:00;0.00;188.89;258.91;262.17;27.78;87.97;0.06;;;
2021-10-12 00:00:00;0.34;172.26;214.05;217.49;26.42;91.41;0.22;;;
2021-10-13 00:00:00;0.00;214.23;274.81;281.61;26.75;88.33;0.06;;;
2021-10-14 00:00:00;0.02;143.97;199.79;205.14;27.15;91.05;0.10;;;
2021-10-15 00:00:00;0.00;167.84;234.07;242.57;27.77;88.00;0.05;;;
2021-10-16 00:00:00;0.00;181.36;265.79;269.26;28.55;84.89;0.04;;;
2021-10-17 00:00:00;0.00;127.13;187.37;192.53;27.27;88.01;0.13;;;
2021-10-18 00:00:00;0.19;95.16;149.56;151.59;25.66;94.08;0.14;;;
2021-10-19 00:00:00;0.00;170.89;204.11;209.36;25.76;91.00;0.09;;;
2021-10-20 00:00:00;0.00;161.69;229.62;228.43;26.68;90.05;0.20;;;
2021-10-21 00:00:00;0.05;87.25;124.47;130.46;25.36;95.01;0.07;;;
2021-10-22 00:00:00;0.00;197.16;275.82;278.09;27.20;85.64;0.10;;;
2021-10-23 00:00:00;0.07;97.70;141.33;148.55;26.06;94.62;0.08;;;
2021-10-24 00:00:00;0.02;160.74;218.32;219.65;26.64;89.35;0.02;;;
2021-10-25 00:00:00;0.03;62.05;89.23;94.20;24.98;96.10;0.16;;;
2021-10-26 00:00:00;0.00;166.25;223.89;229.84;25.89;90.19;0.13;;;
2021-10-27 00:00:00;0.09;100.49;130.73;137.48;25.29;95.76;0.19;;;
2021-10-28 00:00:00;0.11;83.51;116.66;122.13;24.39;96.10;0.01;;;
2021-10-29 00:00:00;0.00;196.33;265.49;266.05;26.34;87.66;0.15;;;
2021-10-30 00:00:00;0.05;149.62;193.22;197.89;26.30;91.52;0.06;;;
2021-10-31 00:00:00;0.00;188.16;248.61;253.62;27.42;87.14;0.10;;;
2021-11-01 00:00:00;0.00;145.45;204.64;212.27;27.31;88.81;0.04;;;
2021-11-02 00:00:00;0.00;139.87;206.58;209.72;26.60;91.90;0.23;;;
2021-11-03 00:00:00;0.01;135.75;184.14;191.52;26.45;92.06;0.06;;;
2021-11-04 00:00:00;0.10;107.48;164.57;171.07;26.34;93.63;0.04;;;
2021-11-05 00:00:00;0.00;175.82;237.52;245.12;26.33;89.12;0.04;;;
2021-11-06 00:00:00;0.07;164.79;219.14;222.88;27.23;90.15;0.03;;;
2021-11-07 00:00:00;0.31;49.08;74.09;78.34;24.44;97.80;0.16;;;
2021-11-08 00:00:00;0.05;156.23;188.35;194.45;25.71;93.03;0.05;;;
2021-11-09 00:00:00;0.02;129.81;168.26;175.01;25.59;95.12;0.06;;;
2021-11-10 00:00:00;0.31;119.52;154.01;156.56;25.50;95.04;0.09;;;
2021-11-11 00:00:00;0.05;75.81;105.87;111.51;24.96;97.83;0.05;;;
2021-11-12 00:00:00;0.00;75.83;98.25;103.85;25.66;95.80;0.16;;;
2021-11-13 00:00:00;0.16;124.33;157.26;166.36;25.78;95.72;0.16;;;
2021-11-14 00:00:00;0.01;188.72;243.39;244.66;26.62;90.22;0.10;;;
2021-11-15 00:00:00;0.00;185.40;225.47;231.43;27.72;88.86;0.03;;;
2021-11-16 00:00:00;1.03;123.83;142.56;149.11;26.02;95.00;0.21;;;
2021-11-17 00:00:00;0.39;16.42;36.14;38.58;24.44;99.92;0.03;;;
2021-11-18 00:00:00;0.00;143.59;178.55;185.59;25.53;94.42;0.01;;;
2021-11-19 00:00:00;0.00;125.65;171.59;179.62;26.15;93.29;0.08;;;
2021-11-20 00:00:00;0.10;115.28;142.44;146.93;24.87;95.39;0.18;;;
2021-11-21 00:00:00;0.00;150.78;196.67;205.43;26.42;91.03;0.02;;;
2021-11-22 00:00:00;0.03;147.63;210.15;213.69;26.49;91.14;0.06;;;
2021-11-23 00:00:00;0.01;126.91;160.29;166.78;25.92;94.19;0.10;;;
2021-11-24 00:00:00;0.02;125.14;173.64;179.24;26.54;93.26;0.09;;;
2021-11-25 00:00:00;0.00;159.67;214.64;219.54;26.62;90.74;0.05;;;
2021-11-26 00:00:00;0.10;75.21;91.22;98.30;25.76;96.94;0.05;;;
2021-11-27 00:00:00;0.12;96.95;131.26;137.86;25.50;96.58;0.04;;;
2021-11-28 00:00:00;0.05;186.65;242.13;246.88;27.09;90.56;0.13;;;
2021-11-29 00:00:00;0.00;151.96;195.86;201.79;26.99;91.32;0.07;;;
2021-11-30 00:00:00;0.00;112.23;150.60;158.06;26.55;94.09;0.08;;;
2021-12-01 00:00:00;0.00;94.40;128.20;136.33;25.81;94.82;0.17;;;
2021-12-02 00:00:00;0.00;110.04;137.31;143.42;25.44;94.38;0.09;;;
2021-12-03 00:00:00;0.00;151.41;214.83;217.20;26.93;90.50;0.08;;;
2021-12-04 00:00:00;0.50;85.38;114.49;122.16;24.51;97.48;0.08;;;
2021-12-05 00:00:00;0.00;181.32;233.37;236.61;26.43;90.47;0.09;;;
2021-12-06 00:00:00;0.26;84.16;113.21;117.89;25.45;97.56;0.19;;;
2021-12-07 00:00:00;0.01;42.06;74.16;79.62;24.98;98.84;0.04;;;
2021-12-08 00:00:00;0.00;185.87;230.54;237.39;26.63;90.70;0.08;;;
2021-12-09 00:00:00;0.06;115.09;156.18;161.86;26.12;95.84;0.04;;;
2021-12-10 00:00:00;0.01;74.89;99.24;106.61;25.47;97.68;0.04;;;
2021-12-11 00:00:00;0.07;84.90;101.08;108.51;25.22;97.12;0.08;;;
2021-12-12 00:00:00;0.03;148.92;193.82;201.15;26.37;94.53;0.04;;;
2021-12-13 00:00:00;0.28;58.91;69.41;74.51;25.13;98.24;0.02;;;
2021-12-14 00:00:00;0.06;118.27;151.87;158.99;26.17;95.80;0.03;;;
2021-12-15 00:00:00;0.11;66.44;79.95;85.46;25.64;97.61;0.01;;;
2021-12-16 00:00:00;0.05;148.63;180.11;188.58;26.49;95.04;0.06;;;
2021-12-17 00:00:00;0.00;146.29;159.70;166.58;26.49;93.31;0.07;;;
2021-12-18 00:00:00;0.44;99.56;123.50;132.34;25.36;96.30;0.06;;;
2021-12-19 00:00:00;0.00;149.24;177.71;189.56;25.96;92.95;0.02;;;
2021-12-20 00:00:00;0.02;162.06;198.48;207.72;27.14;92.64;0.04;;;
2021-12-21 00:00:00;0.22;162.26;187.58;196.32;26.82;93.52;0.09;;;
2021-12-22 00:00:00;0.00;155.50;204.91;209.35;27.74;90.63;0.05;;;
2021-12-23 00:00:00;0.13;29.48;41.40;44.32;25.32;99.32;0.04;;;
2021-12-24 00:00:00;0.00;141.97;172.47;181.25;25.70;91.80;0.07;;;
2021-12-25 00:00:00;0.00;128.16;160.94;168.17;27.45;91.59;0.01;;;
2021-12-26 00:00:00;0.04;120.78;146.18;153.60;26.91;94.14;0.09;;;
2021-12-27 00:00:00;0.02;172.95;217.50;225.79;27.17;90.81;0.18;;;
2021-12-28 00:00:00;0.01;31.12;51.78;56.09;25.20;98.44;0.06;;;
2021-12-29 00:00:00;0.03;92.20;120.05;126.67;25.40;94.74;0.05;;;
2021-12-30 00:00:00;0.00;106.34;139.95;149.26;26.87;92.43;0.05;;;
2021-12-31 00:00:00;0.12;116.73;166.78;175.50;26.60;91.94;0.03;;;
